--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
             -28.0,   -0.00466667,       0.00000000,       0.00000000,      -0.37681827,       0.00000000
             -27.0,   -0.00450000,       0.00000000,       0.00000000,      -0.39664151,       0.00000000
             -26.0,   -0.00433333,       0.00000000,       0.00000000,      -0.41741279,       0.00000000
             -25.0,   -0.00416667,       0.00000000,       0.00000000,      -0.44027007,       0.00000000
             -24.0,   -0.00400000,       0.00000000,       0.00000000,      -0.46275651,       0.00000000
             -23.0,   -0.00383333,       0.00000008,       0.00019254,      -0.29710982,       0.19055349
             -22.0,   -0.00366667,       0.00000026,       0.00060428,      -0.10647829,       0.40750250
             -21.0,   -0.00350000,       0.00000040,       0.00092814,      -0.22003115,       0.32053188
             -20.0,   -0.00333333,       0.00000053,       0.00122950,      -0.26954356,       0.29825850
             -19.0,   -0.00316667,       0.00000069,       0.00161055,      -0.21889717,       0.37712835
             -18.0,   -0.00300000,       0.00000084,       0.00193510,      -0.30342682,       0.32120983
             -17.0,   -0.00283333,       0.00000096,       0.00221515,      -0.37641058,       0.27716781
             -16.0,   -0.00266667,       0.00000105,       0.00243110,      -0.46888462,       0.21372751
             -15.0,   -0.00250000,       0.00000112,       0.00259030,      -0.55402052,       0.15756156
             -14.0,   -0.00233333,       0.00000122,       0.00282215,      -0.51123940,       0.22946387
             -13.0,   -0.00216667,       0.00000133,       0.00308875,      -0.50573964,       0.26385623
             -12.0,   -0.00200000,       0.00000146,       0.00339235,      -0.49749776,       0.30047544
             -11.0,   -0.00183333,       0.00000169,       0.00391780,      -0.30610992,       0.52004223
             -10.0,   -0.00166667,       0.00000202,       0.00468040,      -0.09910253,       0.75475156
              -9.0,   -0.00150000,       0.00000244,       0.00564980,       0.07883429,       0.95942323
              -8.0,   -0.00133333,       0.00000298,       0.00690425,       0.33529810,       1.24153959
              -7.0,   -0.00116667,       0.00000371,       0.00860645,       0.75371135,       1.68468148
              -6.0,   -0.00100000,       0.00000469,       0.01087085,       1.28621500,       2.24109549
              -5.0,   -0.00083333,       0.00000589,       0.01363900,       1.76116091,       2.73966105
              -4.0,   -0.00066667,       0.00000735,       0.01703250,       2.35701975,       3.35857514
              -3.0,   -0.00050000,       0.00000919,       0.02129600,       3.19507771,       4.21962137
              -2.0,   -0.00033333,       0.00001144,       0.02651600,       4.11882236,       5.16627737
              -1.0,   -0.00016667,       0.00001414,       0.03277050,       5.11985435,       6.19013061
               0.0,    0.00000000,       0.00001735,       0.04020450,       6.26404270,       7.35749156
               1.0,    0.00016667,       0.00002113,       0.04895800,       7.54623049,       8.66341167
               2.0,    0.00033333,       0.00002552,       0.05915000,       8.94532458,      10.08710707
               3.0,    0.00050000,       0.00003058,       0.07087050,      10.43226720,      11.59987622
               4.0,    0.00066667,       0.00003635,       0.08422850,      12.02561155,      13.22052358
               5.0,    0.00083333,       0.00004290,       0.09940800,      13.79916681,      15.02327726
               6.0,    0.00100000,       0.00005027,       0.11649500,      15.65555926,      16.91114585
               7.0,    0.00116667,       0.00005848,       0.13551500,      17.53464993,      18.82425201
               8.0,    0.00133333,       0.00006754,       0.15652000,      19.46317841,      20.78882300
               9.0,    0.00150000,       0.00007741,       0.17940000,      21.28043397,      22.64452608
              10.0,    0.00166667,       0.00008802,       0.20398500,      22.92797068,      24.33197875
              11.0,    0.00183333,       0.00009928,       0.23007000,      24.37236025,      25.81654121
              12.0,    0.00200000,       0.00011106,       0.25736500,      25.52956571,      27.01408826
              13.0,    0.00216667,       0.00012323,       0.28558000,      26.40111440,      27.92461990
              14.0,    0.00233333,       0.00013565,       0.31435000,      26.91381790,      28.47390801
              15.0,    0.00250000,       0.00014814,       0.34330500,      27.04906751,      28.65700405
              16.0,    0.00266667,       0.00016064,       0.37226500,      26.92262515,      28.66195259
              17.0,    0.00283333,       0.00017304,       0.40101000,      26.58545967,      28.44916531
              18.0,    0.00300000,       0.00018526,       0.42932500,      26.02893090,      28.02359073
              19.0,    0.00316667,       0.00019722,       0.45703500,      25.29711621,      27.42481721
              20.0,    0.00333333,       0.00020881,       0.48391000,      24.36994884,      26.59841077
